folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
BREAST_12_LogREnc\2025-4-14_11-22-48_experiment-0,survival12,LogR,True,1,20,0.0,20,3,0.1,0.9472810307619685,0.9873627675539057,0.9752695235519147,,0.9505692027034349,0.9874567901234568,0.9754636785162287,,1.9346437983158742
BREAST_12_MLPEmbEnc\2025-4-14_11-34-48_experiment-0,survival12,MLPEmb,True,2,50,0.3,20,3,1.0,0.946718010148614,0.987753328329317,0.9760423509409173,,0.9508735487072147,0.9876665217219432,0.9758887171561051,,1.9344713384779308
BREAST_12_MLP\2025-4-14_11-24-46_experiment-0,survival12,MLP,False,1,100,0.2,20,3,1.0,0.9453572297522473,0.9876460372592359,0.9758105027242165,,0.947330201284318,0.9871197155274595,0.974806800618238,,1.9330032670114834
BREAST_12_MLPEnc\2025-4-14_11-29-16_experiment-0,survival12,MLP,True,1,20,0.5,20,3,1.0,0.9444074838531149,0.9875335332176108,0.9755786545075158,,0.9483041508328423,0.9876665022200296,0.9758500772797527,,1.9319410170707259
BREAST_12_LogR\2025-4-14_11-22-0_experiment-0,survival12,LogR,False,1,20,0.0,20,3,0.1,0.9366625637286861,0.9871949174279345,0.9749217512268635,,0.9434065139676346,0.9868576841108216,0.9742658423493045,,1.9238574811566207
BREAST_60_MLPEnc\2025-4-14_11-32-5_experiment-0,survival60,MLP,True,1,20,0.2,20,3,1.0,0.9042361826871882,0.9522960117087449,0.9142128639578878,,0.9040698816868993,0.9551594959700306,0.9187810996422257,,1.8565321943959332
BREAST_60_MLP\2025-4-14_11-27-3_experiment-0,survival60,MLP,False,1,100,0.2,20,3,1.0,0.9017409497226816,0.9520414924486486,0.9136782365520645,,0.9005397256301427,0.9546569741026806,0.9179175062713328,,1.85378244217133
BREAST_60_MLPEmbEnc\2025-4-14_11-42-26_experiment-0,survival60,MLPEmb,True,1,20,0.4,20,10,1.0,0.9009893588924794,0.9512239762068178,0.9123211054449745,,0.9010080861554677,0.9548305007725165,0.9182464942221491,,1.852213335099297
BREAST_60_LogREnc\2025-4-14_11-23-47_experiment-0,survival60,LogR,True,1,20,0.0,20,3,0.1,0.901343620362749,0.9508520055959453,0.9118687284092778,,0.9024577288831307,0.9549373308159504,0.9185343586791134,,1.8521956259586942
BREAST_60_LogR\2025-4-14_11-22-24_experiment-0,survival60,LogR,False,1,20,0.0,20,3,0.01,0.8790364399729426,0.9478552065061393,0.9058644513900312,,0.878890332675542,0.9508856864918671,0.9107208948472262,,1.8268916464790819
LUNG_60_MLPEmbEnc\2025-4-14_12-44-34_experiment-0,survival60,MLPEmb,True,4,20,0.4,50,3,1.0,0.9111792897266764,0.680472415466753,0.8988320868763446,,0.9117980089238844,0.6652956298200515,0.8999641448547867,,1.5916517051934294
LUNG_60_MLPEnc\2025-4-14_12-17-14_experiment-0,survival60,MLP,True,4,20,0.5,100,3,1.0,0.9083224942791938,0.6775233795549823,0.8975514803811085,,0.9097277987044632,0.6720027247956403,0.9013471290273012,,1.585845873834176
LUNG_60_MLP\2025-4-14_12-0-38_experiment-0,survival60,MLP,False,3,100,0.5,100,3,1.0,0.9086036765868033,0.6655732327374119,0.8955537342485401,,0.9059618262289161,0.6501483161751875,0.8973006197817959,,1.574176909324215
LUNG_60_LogREnc\2025-4-14_11-50-47_experiment-0,survival60,LogR,True,1,20,0.0,20,3,1.0,0.9110838761450204,0.6618055555555555,0.9002151418911997,,0.9125087743253532,0.6509137899206202,0.903139886287968,,1.572889431700576
LUNG_12_MLPEmbEnc\2025-4-14_12-25-24_experiment-0,survival12,MLPEmb,True,3,20,0.2,100,10,1.0,0.839533458929807,0.7203344914904892,0.7674680507271214,,0.8469046037938084,0.7281894934333959,0.77301214257736,,1.5598679504202964
LUNG_12_MLPEnc\2025-4-14_12-9-18_experiment-0,survival12,MLP,True,3,20,0.3,100,3,1.0,0.8359791923422835,0.719093246085534,0.764579150957254,,0.8424301946508523,0.7254481118394338,0.7682628280454368,,1.5550724384278176
LUNG_12_MLP\2025-4-14_11-51-34_experiment-0,survival12,MLP,False,3,100,0.2,100,3,1.0,0.8337495270654882,0.7130434782608696,0.7657053322234736,,0.8382431989160963,0.7155744070733019,0.7668918918918919,,1.5467930053263577
LUNG_12_LogREnc\2025-4-14_11-49-59_experiment-0,survival12,LogR,True,1,20,0.0,20,3,0.1,0.835309853057969,0.7091305400823444,0.7647750085687705,,0.8413890286375121,0.7170626349892009,0.7690951821386603,,1.5444403931403135
LUNG_60_LogR\2025-4-14_11-49-40_experiment-0,survival60,LogR,False,1,20,0.0,20,3,10000000000.0,0.8989468333418595,0.637671114191648,0.8928900727384489,,0.8964614191963218,0.6286873156342182,0.8968396250576244,,1.5366179475335076
LUNG_12_LogR\2025-4-14_11-49-20_experiment-0,survival12,LogR,False,1,20,0.0,20,3,10000.0,0.8135795238468553,0.6856335258694851,0.7494981148704891,,0.8200656382194667,0.6968166047842229,0.7561202506854681,,1.4992130497163405
BREAST_12_NAIVE\2025-4-14_11-21-15_experiment-0,survival12,NAIVE,False,1,20,0.0,20,3,1.0,0.5,0.985435656179555,0.971289462498551,,0.5,0.9852572145545797,0.9709428129829984,,1.485435656179555
BREAST_60_NAIVE\2025-4-14_11-21-38_experiment-0,survival60,NAIVE,False,1,20,0.0,20,3,1.0,0.5,0.932338090010977,0.8732521796348084,,0.5,0.9361711435821156,0.8800016449397541,,1.432338090010977
LUNG_12_NAIVE\2025-4-14_11-48-42_experiment-0,survival12,NAIVE,False,1,20,0.0,20,3,1.0,0.5,0.0,0.5617685942319933,,0.5,0.0,0.5593909126517822,,0.5
LUNG_60_NAIVE\2025-4-14_11-49-0_experiment-0,survival60,NAIVE,False,1,20,0.0,20,3,1.0,0.5,0.0,0.8354676774920602,,0.5,0.0,0.8449008861343031,,0.5
