folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-10_20-46-22_experiment-0,survival12,LogR,True,1,1,0.0,1,3,0.1,0.9472810307619685,0.9873627675539057,0.9752695235519147,,,,,,1.9346437983158742
2025-4-10_20-47-19_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1.0,0.94673648300754,0.9873817657629194,0.9753081649213649,,,,,,1.9341182487704593
2025-4-10_20-48-17_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10.0,0.946782317115484,0.9873012738224547,0.9751535994435643,,,,,,1.9340835909379388
2025-4-10_20-45-23_experiment-0,survival12,LogR,True,1,1,0.0,1,3,0.01,0.9465712446230595,0.9874516612737747,0.9754240890297152,,,,,,1.9340229058968341
2025-4-10_20-50-12_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000.0,0.9465869331670169,0.9872422782210285,0.9750376753352139,,,,,,1.9338292113880455
2025-4-10_20-51-9_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000.0,0.9464795228626527,0.9872617754517625,0.975076316704664,,,,,,1.9337412983144153
2025-4-10_20-49-14_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100.0,0.9464543569388985,0.9872612722927735,0.975076316704664,,,,,,1.933715629231672
2025-4-10_20-55-3_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100000000.0,0.9464108252452554,0.9872022751510843,0.9749603925963136,,,,,,1.9336131003963397
2025-4-10_20-57-2_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000000000.0,0.9464107717007367,0.9872022751510843,0.9749603925963136,,,,,,1.933613046851821
2025-4-10_20-56-3_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000000000.0,0.9464107181562181,0.9872022751510843,0.9749603925963136,,,,,,1.9336129933073023
2025-4-10_20-54-4_experiment-0,survival12,LogR,True,1,1,0.0,1,3,10000000.0,0.9464106646116994,0.9872022751510843,0.9749603925963136,,,,,,1.9336129397627837
2025-4-10_20-53-5_experiment-0,survival12,LogR,True,1,1,0.0,1,3,1000000.0,0.946409433087771,0.9872022751510843,0.9749603925963136,,,,,,1.9336117082388553
2025-4-10_20-52-7_experiment-0,survival12,LogR,True,1,1,0.0,1,3,100000.0,0.9463941728999627,0.9872022751510843,0.9749603925963136,,,,,,1.933596448051047
2025-4-10_21-1-28_experiment-0,survival60,LogR,True,1,1,0.0,1,3,0.1,0.901343620362749,0.9508520055959453,0.9118687284092778,,,,,,1.8521956259586942
2025-4-10_21-0-29_experiment-0,survival60,LogR,True,1,1,0.0,1,3,0.01,0.9011404212154213,0.9509986012703217,0.9121154795196579,,,,,,1.8521390224857428
2025-4-10_21-3-28_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10.0,0.9011452345506152,0.9507512329395573,0.9117042276690245,,,,,,1.8518964674901726
2025-4-10_21-5-27_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000.0,0.900999138367159,0.9508888634017663,0.9119509787794045,,,,,,1.8518880017689252
2025-4-10_21-2-28_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1.0,0.9010568831090564,0.9507835623981827,0.9117864780391511,,,,,,1.8518404455072393
2025-4-10_21-6-28_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000.0,0.9009991536475883,0.9508384758321672,0.9118687284092778,,,,,,1.8518376294797556
2025-4-10_21-7-33_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100000.0,0.9009889768817498,0.9507858208099117,0.9117864780391511,,,,,,1.8517747976916614
2025-4-10_21-10-46_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100000000.0,0.9009763399668121,0.950788079014385,0.9117864780391511,,,,,,1.851764418981197
2025-4-10_21-11-51_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000000000.0,0.9009762635646661,0.950788079014385,0.9117864780391511,,,,,,1.851764342579051
2025-4-10_21-12-54_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000000000.0,0.900976248284237,0.950788079014385,0.9117864780391511,,,,,,1.851764327298622
2025-4-10_21-9-42_experiment-0,survival60,LogR,True,1,1,0.0,1,3,10000000.0,0.9009759273952243,0.950788079014385,0.9117864780391511,,,,,,1.8517640064096093
2025-4-10_21-8-37_experiment-0,survival60,LogR,True,1,1,0.0,1,3,1000000.0,0.9009730699549662,0.950788079014385,0.9117864780391511,,,,,,1.8517611489693513
2025-4-10_21-4-28_experiment-0,survival60,LogR,True,1,1,0.0,1,3,100.0,0.9009085407025098,0.9507813037791698,0.9117864780391511,,,,,,1.8516898444816796
