folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-11_10-18-55_experiment-0,survival60,LogR,False,1,1,0.0,1,3,10000000000.0,0.8989468333418595,0.637671114191648,0.8928900727384489,,,,,,1.5366179475335076
2025-4-11_10-18-13_experiment-0,survival60,LogR,False,1,1,0.0,1,3,100000000.0,0.8989468142534167,0.637671114191648,0.8928900727384489,,,,,,1.5366179284450647
2025-4-11_10-18-34_experiment-0,survival60,LogR,False,1,1,0.0,1,3,1000000000.0,0.8989467951649738,0.637671114191648,0.8928900727384489,,,,,,1.5366179093566217
2025-4-11_10-17-53_experiment-0,survival60,LogR,False,1,1,0.0,1,3,10000000.0,0.8989465279267739,0.637671114191648,0.8928900727384489,,,,,,1.536617642118422
2025-4-11_10-17-34_experiment-0,survival60,LogR,False,1,1,0.0,1,3,1000000.0,0.8989464133961165,0.637671114191648,0.8928900727384489,,,,,,1.5366175275877645
2025-4-11_10-17-14_experiment-0,survival60,LogR,False,1,1,0.0,1,3,100000.0,0.8989457262121735,0.637671114191648,0.8928900727384489,,,,,,1.5366168404038216
2025-4-11_10-15-51_experiment-0,survival60,LogR,False,1,1,0.0,1,3,10.0,0.8989451535588876,0.637671114191648,0.8928900727384489,,,,,,1.5366162677505355
2025-4-11_10-16-32_experiment-0,survival60,LogR,False,1,1,0.0,1,3,1000.0,0.8989445809056015,0.637671114191648,0.8928900727384489,,,,,,1.5366156950972494
2025-4-11_10-16-53_experiment-0,survival60,LogR,False,1,1,0.0,1,3,10000.0,0.8989440082523157,0.637671114191648,0.8928900727384489,,,,,,1.5366151224439637
2025-4-11_10-16-11_experiment-0,survival60,LogR,False,1,1,0.0,1,3,100.0,0.8989431110955008,0.637671114191648,0.8928900727384489,,,,,,1.5366142252871489
2025-4-11_10-15-8_experiment-0,survival60,LogR,False,1,1,0.0,1,3,0.1,0.8989116151647754,0.6376560332871012,0.8929412969982584,,,,,,1.5365676484518764
2025-4-11_10-15-29_experiment-0,survival60,LogR,False,1,1,0.0,1,3,1.0,0.8989411831627716,0.6374350086655113,0.8928388484786395,,,,,,1.5363761918282828
2025-4-11_10-14-48_experiment-0,survival60,LogR,False,1,1,0.0,1,3,0.01,0.8986149998511102,0.6361270171785528,0.8925827271795923,,,,,,1.534742017029663
2025-4-11_10-5-4_experiment-0,survival12,LogR,False,1,1,0.0,1,3,10000.0,0.8135795238468553,0.6856335258694851,0.7494981148704891,,,,,,1.4992130497163405
2025-4-11_10-5-25_experiment-0,survival12,LogR,False,1,1,0.0,1,3,100000.0,0.8135791635157988,0.6856335258694851,0.7494981148704891,,,,,,1.499212689385284
2025-4-11_10-6-8_experiment-0,survival12,LogR,False,1,1,0.0,1,3,10000000.0,0.8135791537771216,0.6856335258694851,0.7494981148704891,,,,,,1.4992126796466068
2025-4-11_10-4-1_experiment-0,survival12,LogR,False,1,1,0.0,1,3,10.0,0.8135791440384443,0.6856335258694851,0.7494981148704891,,,,,,1.4992126699079296
2025-4-11_10-6-29_experiment-0,survival12,LogR,False,1,1,0.0,1,3,100000000.0,0.8135791440384444,0.6856335258694851,0.7494981148704891,,,,,,1.4992126699079296
2025-4-11_10-6-49_experiment-0,survival12,LogR,False,1,1,0.0,1,3,1000000000.0,0.8135791342997672,0.6856335258694851,0.7494981148704891,,,,,,1.4992126601692524
2025-4-11_10-7-9_experiment-0,survival12,LogR,False,1,1,0.0,1,3,10000000000.0,0.8135791342997672,0.6856335258694851,0.7494981148704891,,,,,,1.4992126601692524
2025-4-11_10-5-47_experiment-0,survival12,LogR,False,1,1,0.0,1,3,1000000.0,0.8135791148224129,0.6856335258694851,0.7494981148704891,,,,,,1.499212640691898
2025-4-11_10-4-21_experiment-0,survival12,LogR,False,1,1,0.0,1,3,100.0,0.8135796114949503,0.6855913978494624,0.7494491504676101,,,,,,1.4991710093444128
2025-4-11_10-4-42_experiment-0,survival12,LogR,False,1,1,0.0,1,3,1000.0,0.8135794264600833,0.6855913978494624,0.7494491504676101,,,,,,1.4991708243095458
2025-4-11_10-3-41_experiment-0,survival12,LogR,False,1,1,0.0,1,3,1.0,0.8135788324007739,0.6855913978494624,0.7494491504676101,,,,,,1.4991702302502363
2025-4-11_10-3-20_experiment-0,survival12,LogR,False,1,1,0.0,1,3,0.1,0.8135617410222786,0.6855948869223205,0.7494981148704891,,,,,,1.4991566279445991
2025-4-11_10-2-58_experiment-0,survival12,LogR,False,1,1,0.0,1,3,0.01,0.8133613093067181,0.6856826704370812,0.7496450080791265,,,,,,1.4990439797437993
