folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-13_12-33-3_experiment-0,survival12,MLPEmb,True,2,50,0.3,20,3,1.0,0.946718010148614,0.987753328329317,0.9760423509409173,,,,,,1.9344713384779308
2025-4-13_12-56-28_experiment-0,survival12,MLPEmb,True,2,50,0.4,20,3,1.0,0.9463513372850616,0.9875310736692577,0.9755786545075158,,,,,,1.9338824109543193
2025-4-13_12-41-17_experiment-0,survival12,MLPEmb,True,2,50,0.3,20,5,1.0,0.9462532437269384,0.9875913851017586,0.9757332199853163,,,,,,1.933844628828697
2025-4-13_11-29-18_experiment-0,survival12,MLPEmb,True,2,20,0.3,20,5,1.0,0.946234235422826,0.9874691662555501,0.9754627303991653,,,,,,1.9337034016783763
2025-4-13_13-4-46_experiment-0,survival12,MLPEmb,True,2,50,0.4,20,5,1.0,0.945976338248863,0.987589037311813,0.9756945786158662,,,,,,1.933565375560676
2025-4-13_11-53-57_experiment-0,survival12,MLPEmb,True,2,20,0.4,20,5,1.0,0.9459776500895692,0.9875456429487812,0.9756172958769659,,,,,,1.9335232930383506
2025-4-13_11-45-17_experiment-0,survival12,MLPEmb,True,2,20,0.4,20,3,1.0,0.946129314938578,0.9873922222441449,0.9753081649213649,,,,,,1.933521537182723
2025-4-13_11-20-37_experiment-0,survival12,MLPEmb,True,2,20,0.3,20,3,1.0,0.9459651742167293,0.9874876652851785,0.9755013717686155,,,,,,1.933452839501908
2025-4-13_12-17-46_experiment-0,survival12,MLPEmb,True,2,20,0.5,20,5,1.0,0.9458910150584321,0.9872126805937111,0.9749990339657637,,,,,,1.9331036956521432
2025-4-13_12-1-44_experiment-0,survival12,MLPEmb,True,2,20,0.4,20,10,1.0,0.9454376803914832,0.9875831573129084,0.9756945786158662,,,,,,1.9330208377043916
2025-4-13_12-9-36_experiment-0,survival12,MLPEmb,True,2,20,0.5,20,3,1.0,0.9457081605273238,0.9872763497918844,0.975076316704664,,,,,,1.932984510319208
2025-4-13_12-25-29_experiment-0,survival12,MLPEmb,True,2,20,0.5,20,10,1.0,0.9454365024120733,0.9874896404751569,0.9755013717686155,,,,,,1.9329261428872302
2025-4-13_10-57-35_experiment-0,survival12,MLPEmb,True,1,50,0.5,20,3,1.0,0.9450950490167941,0.9874602579039871,0.9754627303991653,,,,,,1.932555306920781
2025-4-13_9-48-21_experiment-0,survival12,MLPEmb,True,1,20,0.5,20,3,1.0,0.9450950490167941,0.9874602579039871,0.9754627303991653,,,,,,1.932555306920781
2025-4-13_11-37-15_experiment-0,survival12,MLPEmb,True,2,20,0.3,20,10,1.0,0.9449160229187674,0.9875982463762392,0.9757332199853163,,,,,,1.9325142692950066
2025-4-13_10-35-4_experiment-0,survival12,MLPEmb,True,1,50,0.4,20,3,1.0,0.9452041192012358,0.9872577490665561,0.975076316704664,,,,,,1.9324618682677919
2025-4-13_9-25-53_experiment-0,survival12,MLPEmb,True,1,20,0.4,20,3,1.0,0.9452041192012358,0.9872577490665561,0.975076316704664,,,,,,1.9324618682677919
2025-4-13_13-35-54_experiment-0,survival12,MLPEmb,True,2,50,0.5,20,10,1.0,0.9449853630703884,0.9874131944444444,0.9753468062908149,,,,,,1.9323985575148328
2025-4-13_13-19-54_experiment-0,survival12,MLPEmb,True,2,50,0.5,20,3,1.0,0.9450536858761555,0.9873372781065088,0.9751922408130144,,,,,,1.9323909639826642
2025-4-13_10-11-36_experiment-0,survival12,MLPEmb,True,1,50,0.3,20,3,1.0,0.9451392767891794,0.9872301731635962,0.9750376753352139,,,,,,1.9323694499527755
2025-4-13_9-3-50_experiment-0,survival12,MLPEmb,True,1,20,0.3,20,3,1.0,0.9451392767891794,0.9872301731635962,0.9750376753352139,,,,,,1.9323694499527755
