folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-14_1-29-18_experiment-0,survival60,MLPEmb,True,4,20,0.4,50,3,1.0,0.9111792897266764,0.680472415466753,0.8988320868763446,,,,,,1.5916517051934294
2025-4-14_1-42-26_experiment-0,survival60,MLPEmb,True,4,20,0.4,50,5,1.0,0.9113834692557723,0.6771601901951139,0.8991394324352013,,,,,,1.5885436594508862
2025-4-14_2-20-57_experiment-0,survival60,MLPEmb,True,4,20,0.5,50,3,1.0,0.9101545171272963,0.6773078821787066,0.8995492265136769,,,,,,1.5874623993060029
2025-4-14_2-45-29_experiment-0,survival60,MLPEmb,True,4,20,0.5,50,10,1.0,0.909514033059656,0.6770645214250534,0.8992418809548202,,,,,,1.5865785544847093
2025-4-14_1-19-12_experiment-0,survival60,MLPEmb,True,4,20,0.4,20,5,1.0,0.9115549789149061,0.6712978651304642,0.9006249359696752,,,,,,1.5828528440453704
2025-4-13_21-34-12_experiment-0,survival60,MLPEmb,True,3,20,0.2,20,3,1.0,0.9142371151101822,0.6672428694900606,0.9013932998668169,,,,,,1.581479984600243
2025-4-14_1-13-24_experiment-0,survival60,MLPEmb,True,4,20,0.4,20,3,1.0,0.9111009603013837,0.6697077208988005,0.8998565720725336,,,,,,1.580808681200184
2025-4-14_2-16-1_experiment-0,survival60,MLPEmb,True,4,20,0.5,20,10,1.0,0.9105298436351114,0.670055922724962,0.9002663661510091,,,,,,1.5805857663600733
2025-4-13_21-40-3_experiment-0,survival60,MLPEmb,True,3,20,0.2,20,5,1.0,0.9143935735321178,0.6655184292111609,0.9005224874500564,,,,,,1.5799120027432787
2025-4-14_2-5-7_experiment-0,survival60,MLPEmb,True,4,20,0.5,20,3,1.0,0.9103211592334999,0.6691287560852779,0.8990369839155824,,,,,,1.5794499153187778
2025-4-14_1-54-0_experiment-0,survival60,MLPEmb,True,4,20,0.4,50,10,1.0,0.912328242191109,0.6671202585473719,0.8997541235529146,,,,,,1.5794485007384809
2025-4-14_0-26-50_experiment-0,survival60,MLPEmb,True,4,20,0.2,20,5,1.0,0.9150520580013789,0.6633061011646099,0.9007786087491035,,,,,,1.5783581591659888
2025-4-13_21-45-17_experiment-0,survival60,MLPEmb,True,3,20,0.2,20,10,1.0,0.9143019585505917,0.6626443716600586,0.8997541235529146,,,,,,1.5769463302106503
2025-4-13_23-12-32_experiment-0,survival60,MLPEmb,True,3,20,0.4,50,10,1.0,0.9135839754049232,0.6622905510450856,0.8998565720725336,,,,,,1.5758745264500087
2025-4-13_22-3-42_experiment-0,survival60,MLPEmb,True,3,20,0.2,50,5,1.0,0.9141415297325405,0.6602720613882107,0.9002151418911997,,,,,,1.5744135911207513
2025-4-14_0-37-0_experiment-0,survival60,MLPEmb,True,4,20,0.2,50,3,1.0,0.9139276723629125,0.6599824098504837,0.9009835057883414,,,,,,1.5739100822133962
2025-4-13_23-36-56_experiment-0,survival60,MLPEmb,True,3,20,0.5,20,10,1.0,0.9126281120842823,0.6610576923076923,0.898883311136154,,,,,,1.5736858043919746
2025-4-14_1-24-20_experiment-0,survival60,MLPEmb,True,4,20,0.4,20,10,1.0,0.9118496090305133,0.6599513720041682,0.8997028992931052,,,,,,1.5718009810346816
2025-4-13_22-40-17_experiment-0,survival60,MLPEmb,True,3,20,0.4,20,10,1.0,0.913153645548995,0.6573524275235766,0.8994980022538674,,,,,,1.5705060730725715
