folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-11_1-15-35_experiment-0,survival12,MLP,False,1,100,0.2,20,3,1.0,0.9453572297522473,0.9876460372592359,0.9758105027242165,,,,,,1.9330032670114834
2025-4-11_8-28-23_experiment-0,survival12,MLP,False,2,100,0.2,20,3,1.0,0.9457232333093167,0.9872118724344806,0.9749603925963136,,,,,,1.9329351057437973
2025-4-10_23-35-46_experiment-0,survival12,MLP,False,1,50,0.2,20,3,1.0,0.9451328782192034,0.9875485920634608,0.9756172958769659,,,,,,1.9326814702826642
2025-4-10_21-46-17_experiment-0,survival12,MLP,False,1,20,0.1,50,3,1.0,0.9450084943024349,0.9874815179891573,0.9754627303991653,,,,,,1.9324900122915922
2025-4-10_23-54-56_experiment-0,survival12,MLP,False,1,50,0.3,50,3,1.0,0.9446565729537642,0.9878312920883707,0.9761196336798176,,,,,,1.9324878650421349
2025-4-12_0-39-33_experiment-0,survival12,MLP,False,4,50,0.2,20,3,1.0,0.9450076108178777,0.9873367785711467,0.9751922408130144,,,,,,1.9323443893890242
2025-4-10_21-29-10_experiment-0,survival12,MLP,False,1,20,0.0,20,3,1.0,0.94505390005423,0.9872582525039015,0.975076316704664,,,,,,1.9323121525581315
2025-4-10_23-52-28_experiment-0,survival12,MLP,False,1,50,0.3,20,3,1.0,0.9446556091524289,0.9876070568733473,0.9757332199853163,,,,,,1.932262666025776
2025-4-10_23-38-13_experiment-0,survival12,MLP,False,1,50,0.2,50,3,1.0,0.9444574141167339,0.9877945381050972,0.9760809923103675,,,,,,1.932251952221831
2025-4-11_8-48-55_experiment-0,survival12,MLP,False,2,100,0.3,20,3,1.0,0.9449261428327876,0.9873138878508348,0.975076316704664,,,,,,1.9322400306836225
2025-4-10_21-59-41_experiment-0,survival12,MLP,False,1,20,0.2,20,3,1.0,0.9444985630792981,0.9875667474532521,0.9756172958769659,,,,,,1.9320653105325503
2025-4-11_14-34-16_experiment-0,survival12,MLP,False,3,50,0.1,20,3,1.0,0.9450128046361842,0.9870524612165951,0.9746512616407126,,,,,,1.9320652658527793
2025-4-10_21-43-58_experiment-0,survival12,MLP,False,1,20,0.1,20,3,1.0,0.9448274335127003,0.987196938312521,0.9749217512268635,,,,,,1.9320243718252212
2025-4-12_6-4-47_experiment-0,survival12,MLP,False,4,200,0.2,20,3,1.0,0.9446360654031304,0.9873731901900915,0.9752308821824646,,,,,,1.932009255593222
2025-4-10_22-15-32_experiment-0,survival12,MLP,False,1,20,0.3,20,3,1.0,0.9445272093967633,0.9874249729410607,0.9753081649213649,,,,,,1.9319521823378238
2025-4-11_1-50-4_experiment-0,survival12,MLP,False,1,100,0.4,20,3,1.0,0.9440055519240473,0.9877541361834711,0.9760037095714672,,,,,,1.9317596881075185
2025-4-10_22-17-52_experiment-0,survival12,MLP,False,1,20,0.3,50,3,1.0,0.9443628009523214,0.9873103936729033,0.975076316704664,,,,,,1.9316731946252248
