folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-10_23-0-48_experiment-0,survival12,MLP,True,1,20,0.5,20,3,1.0,0.9444074838531149,0.9875335332176108,0.9755786545075158,,,,,,1.9319410170707259
2025-4-10_22-41-54_experiment-0,survival12,MLP,True,1,20,0.4,20,3,1.0,0.9444981614954084,0.9872753457357611,0.975076316704664,,,,,,1.9317735072311697
2025-4-10_22-23-28_experiment-0,survival12,MLP,True,1,20,0.3,20,3,1.0,0.9436749412937898,0.987353260333432,0.9752308821824646,,,,,,1.9310282016272218
2025-4-11_7-32-54_experiment-0,survival12,MLP,True,2,20,0.4,20,3,1.0,0.9437117531503453,0.9872305206321681,0.9749603925963136,,,,,,1.9309422737825135
2025-4-11_7-12-7_experiment-0,survival12,MLP,True,2,20,0.3,20,3,1.0,0.9437435585944093,0.9870539943163877,0.9746512616407126,,,,,,1.930797552910797
2025-4-11_17-39-5_experiment-0,survival12,MLP,True,3,20,0.3,20,3,1.0,0.9435564740463293,0.9871148238631885,0.9747285443796128,,,,,,1.9306712979095177
2025-4-11_0-39-21_experiment-0,survival12,MLP,True,1,50,0.4,20,3,1.0,0.9432425157613645,0.9873937146126379,0.9753081649213649,,,,,,1.9306362303740023
2025-4-11_3-9-2_experiment-0,survival12,MLP,True,1,100,0.5,20,3,1.0,0.9434539630654194,0.9871237854490876,0.974805827118513,,,,,,1.930577748514507
2025-4-11_0-59-31_experiment-0,survival12,MLP,True,1,50,0.5,20,3,1.0,0.9430206005039181,0.9874755921973926,0.9754627303991653,,,,,,1.9304961927013107
2025-4-11_7-53-8_experiment-0,survival12,MLP,True,2,20,0.5,20,3,1.0,0.9433411715369332,0.9869945892769307,0.9744580547934619,,,,,,1.9303357608138638
2025-4-12_5-25-13_experiment-0,survival12,MLP,True,4,20,0.2,20,3,1.0,0.9434649396917378,0.9867879746835443,0.974187565207311,,,,,,1.930252914375282
2025-4-10_22-44-59_experiment-0,survival12,MLP,True,1,20,0.4,50,3,1.0,0.9429401766369417,0.98727434152116,0.975076316704664,,,,,,1.9302145181581016
2025-4-10_23-3-52_experiment-0,survival12,MLP,True,1,20,0.5,50,3,1.0,0.9427121037598531,0.987498521118429,0.9755013717686155,,,,,,1.9302106248782822
2025-4-10_22-5-4_experiment-0,survival12,MLP,True,1,20,0.2,20,3,1.0,0.9426559623320737,0.9873077910029411,0.9751535994435643,,,,,,1.9299637533350147
2025-4-10_23-9-33_experiment-0,survival12,MLP,True,1,20,0.5,100,3,1.0,0.9423928713398038,0.9873097949436538,0.9751535994435643,,,,,,1.9297026662834575
2025-4-11_7-36-4_experiment-0,survival12,MLP,True,2,20,0.4,50,3,1.0,0.9423785214088121,0.9871342724854694,0.974767185749063,,,,,,1.9295127938942813
2025-4-11_6-51-22_experiment-0,survival12,MLP,True,2,20,0.2,20,3,1.0,0.9427484069434819,0.9866292179279244,0.9738784342517098,,,,,,1.9293776248714063
