folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-13_13-54-38_experiment-0,survival60,MLP,True,4,20,0.5,100,1,1.0,0.9083224942791938,0.6775233795549823,0.8975514803811085,,,,,,1.585845873834176
2025-4-13_13-49-14_experiment-0,survival60,MLP,True,4,20,0.5,50,1,1.0,0.909342342060315,0.6759960487323016,0.8991906566950107,,,,,,1.5853383907926166
2025-4-13_13-46-34_experiment-0,survival60,MLP,True,4,20,0.5,20,1,1.0,0.9098604119438678,0.6716616716616718,0.898985759655773,,,,,,1.5815220836055395
2025-4-13_4-35-19_experiment-0,survival60,MLP,True,3,20,0.2,20,1,1.0,0.9131861913440783,0.6681583476764199,0.9012396270873886,,,,,,1.581344539020498
2025-4-13_6-42-11_experiment-0,survival60,MLP,True,3,50,0.4,20,1,1.0,0.9121776439211327,0.6656431252132378,0.8996004507734863,,,,,,1.5778207691343704
2025-4-13_13-29-48_experiment-0,survival60,MLP,True,4,20,0.4,50,1,1.0,0.9089654693886278,0.6675662000337325,0.8990369839155824,,,,,,1.5765316694223603
2025-4-13_13-9-27_experiment-0,survival60,MLP,True,4,20,0.3,50,1,1.0,0.9111560495474895,0.6646048109965635,0.9000102448519619,,,,,,1.5757608605440532
2025-4-12_17-5-56_experiment-0,survival60,MLP,True,1,50,0.2,20,1,1.0,0.9140374404536025,0.6604240282685512,0.9015469726462453,,,,,,1.5744614687221536
2025-4-12_21-47-48_experiment-0,survival60,MLP,True,2,20,0.2,20,1,1.0,0.9127740623184211,0.6615705350938151,0.9002151418911997,,,,,,1.574344597412236
2025-4-13_13-35-56_experiment-0,survival60,MLP,True,4,20,0.4,100,1,1.0,0.9078832882973338,0.6655399695791787,0.8986271898371069,,,,,,1.5734232578765126
2025-4-12_22-2-2_experiment-0,survival60,MLP,True,2,20,0.3,20,1,1.0,0.9126080596750535,0.6605504587155963,0.9014445241266263,,,,,,1.5731585183906498
2025-4-13_14-21-31_experiment-0,survival60,MLP,True,4,50,0.1,20,1,1.0,0.9108765947439591,0.6622539035980992,0.898063722979203,,,,,,1.5731304983420582
2025-4-13_8-47-35_experiment-0,survival60,MLP,True,3,100,0.5,20,1,1.0,0.9100234367901485,0.6627565982404693,0.8998565720725336,,,,,,1.5727800350306178
