folder,task,model,oneHotEncoding,mlpLayers,mlpWidth,mlpDropout,mlpEpochs,mlpEmbNeurons,logrC,auc,f1,acc,set,test_auc,test_f1,test_acc,test_set,auc+f1
2025-4-12_23-27-47_experiment-0,survival60,MLP,False,3,100,0.5,100,1,1.0,0.9086036765868033,0.6655732327374119,0.8955537342485401,,,,,,1.574176909324215
2025-4-12_13-19-49_experiment-0,survival60,MLP,False,1,200,0.4,100,1,1.0,0.9104254966621947,0.6610761705101328,0.9006249359696752,,,,,,1.5715016671723276
2025-4-12_11-14-48_experiment-0,survival60,MLP,False,1,100,0.1,100,1,1.0,0.9106479438311115,0.6602209944751382,0.8991906566950107,,,,,,1.5708689383062495
2025-4-13_2-0-49_experiment-0,survival60,MLP,False,4,20,0.2,50,1,1.0,0.9073540803073696,0.6632869991823385,0.8945292490523512,,,,,,1.570641079489708
2025-4-12_10-58-58_experiment-0,survival60,MLP,False,1,100,0.0,50,1,1.0,0.9090253975549994,0.660791429065146,0.899446777994058,,,,,,1.5698168266201455
2025-4-12_12-50-27_experiment-0,survival60,MLP,False,1,200,0.2,100,1,1.0,0.9099845918089203,0.6592217763043098,0.8999590205921525,,,,,,1.56920636811323
2025-4-12_19-30-34_experiment-0,survival60,MLP,False,3,20,0.0,100,1,1.0,0.9094857726199957,0.6597127222982216,0.898063722979203,,,,,,1.5691984949182174
2025-4-12_11-28-33_experiment-0,survival60,MLP,False,1,100,0.2,100,1,1.0,0.9112173329933045,0.6579497907949791,0.8994980022538674,,,,,,1.5691671237882836
2025-4-12_21-0-38_experiment-0,survival60,MLP,False,3,50,0.1,100,1,1.0,0.9101979719674764,0.6586318112374808,0.8969880135232046,,,,,,1.5688297832049574
2025-4-12_13-4-54_experiment-0,survival60,MLP,False,1,200,0.3,100,1,1.0,0.9103184104977272,0.6583028402160656,0.8995492265136769,,,,,,1.5686212507137927
2025-4-12_21-28-50_experiment-0,survival60,MLP,False,3,50,0.3,100,1,1.0,0.9095585663968578,0.6589498406307668,0.8958610798073968,,,,,,1.5685084070276245
2025-4-12_8-34-19_experiment-0,survival60,MLP,False,1,20,0.0,100,1,1.0,0.9105887792024543,0.6578489383919249,0.8992931052146297,,,,,,1.5684377175943793
2025-4-12_9-47-13_experiment-0,survival60,MLP,False,1,50,0.0,100,1,1.0,0.9083189724614852,0.659993096306524,0.8990882081753918,,,,,,1.5683120687680092
2025-4-12_11-55-39_experiment-0,survival60,MLP,False,1,100,0.4,100,1,1.0,0.9113970506828699,0.6568265682656825,0.8999590205921525,,,,,,1.5682236189485526
2025-4-12_9-43-45_experiment-0,survival60,MLP,False,1,50,0.0,50,1,1.0,0.9086286919911766,0.6591773245765642,0.898985759655773,,,,,,1.5678060165677408
2025-4-12_19-51-57_experiment-0,survival60,MLP,False,3,20,0.2,50,1,1.0,0.9080946259925036,0.6596385542168673,0.8958098555475873,,,,,,1.567733180209371
2025-4-12_12-18-31_experiment-0,survival60,MLP,False,1,200,0.0,50,1,1.0,0.9074601166074798,0.6602343211578222,0.898985759655773,,,,,,1.5676944377653022
